"X","Y","Leng_T.series","Effect_sens","lag","i","j","P_val_WT","Effect_Size","Coef_b11","Coef_b21","Coef_a1"
"Eutrigla_gurnardus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,2,1,0.722,-0.01,-0.08,-0.1,-0.1
"Helicolenus_dactylopterus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,3,1,0.144,0.08,-0.2,-0.09,-0.1
"Lophius_budegassa_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,4,1,0.984,-0.01,0,-0.1,-0.1
"Merluccius_merluccius_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,5,1,0.638,0,0.07,-0.1,-0.1
"Nephrops_norvegicus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,6,1,0.502,0.01,0.12,-0.15,-0.1
"Phycis_blennoides_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,7,1,0.173,0.07,-0.21,-0.15,-0.1
"Trachurus_mediterraneus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,8,1,0.765,-0.01,-0.02,-0.11,-0.1
"Trachurus_trachurus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,9,1,0.804,-0.01,-0.03,-0.1,-0.1
"Trisopterus_capelanus_juv","Eledone_cirrhosa_juv",28,"x_cause_y",1,10,1,0.061,0.14,0.3,-0.12,-0.1
"Eledone_cirrhosa_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,11,1,0.746,-0.01,0.09,-0.13,-0.1
"Eutrigla_gurnardus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,12,1,0.605,0,0.09,-0.11,-0.1
"Helicolenus_dactylopterus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,13,1,0.573,0,0.15,-0.13,-0.1
"Lophius_budegassa_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,14,1,0.803,-0.01,-0.05,-0.11,-0.1
"Merluccius_merluccius_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,15,1,0.149,0.08,-0.35,-0.1,-0.1
"Mullus_barbatus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,16,1,0.752,-0.01,-0.06,-0.1,-0.1
"Nephrops_norvegicus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,17,1,0.993,-0.01,0.01,-0.1,-0.1
"Phycis_blennoides_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,18,1,0.749,-0.01,-0.08,-0.11,-0.1
"Trachurus_mediterraneus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,19,1,0.785,-0.01,-0.03,-0.11,-0.1
"Trachurus_trachurus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,20,1,0.895,-0.01,0.01,-0.1,-0.1
"Trisopterus_capelanus_adu","Eledone_cirrhosa_juv",28,"x_cause_y",1,21,1,0.893,-0.01,-0.03,-0.1,-0.1
"Sardina_pilchardus","Eledone_cirrhosa_juv",27,"x_cause_y",1,22,1,0.01,0.28,0.52,0.01,0.03
"Engraulis_encrasicolus","Eledone_cirrhosa_juv",27,"x_cause_y",1,23,1,0.845,0,-0.04,0.04,0.03
"Citharus_linguatula","Eledone_cirrhosa_juv",28,"x_cause_y",1,24,1,0.163,0.07,-0.19,-0.17,-0.1
"Illex_coindetii","Eledone_cirrhosa_juv",28,"x_cause_y",1,25,1,0.609,0,-0.05,-0.1,-0.1
"Lepidorhombus_boscii","Eledone_cirrhosa_juv",28,"x_cause_y",1,26,1,0.146,0.07,-0.45,-0.1,-0.1
"Loligo_vulgaris","Eledone_cirrhosa_juv",28,"x_cause_y",1,27,1,0.902,-0.01,0.01,-0.11,-0.1
"Lophius_piscatorius","Eledone_cirrhosa_juv",28,"x_cause_y",1,28,1,0.785,-0.01,0.04,-0.11,-0.1
"Micromesistius_poutassou","Eledone_cirrhosa_juv",28,"x_cause_y",1,29,1,0.704,0,0.04,-0.11,-0.1
"Mullus_surmuletus","Eledone_cirrhosa_juv",28,"x_cause_y",1,30,1,0.269,0.04,0.23,-0.08,-0.1
"Octopus_vulgaris","Eledone_cirrhosa_juv",28,"x_cause_y",1,31,1,0.048,0.15,0.49,-0.23,-0.1
"Pagellus_acarne","Eledone_cirrhosa_juv",28,"x_cause_y",1,32,1,0.227,0.05,0.14,-0.1,-0.1
"Pagellus_bogaraveo","Eledone_cirrhosa_juv",28,"x_cause_y",1,33,1,0.689,-0.01,0.03,-0.1,-0.1
"Pagellus_erythrinus","Eledone_cirrhosa_juv",28,"x_cause_y",1,34,1,0.349,0.02,0.09,-0.08,-0.1
"Solea_solea","Eledone_cirrhosa_juv",28,"x_cause_y",1,35,1,0.432,0.01,-0.09,-0.09,-0.1
"Zeus_faber","Eledone_cirrhosa_juv",28,"x_cause_y",1,36,1,0.468,0.01,-0.09,-0.1,-0.1
"Eledone_cirrhosa_juv","Lophius_budegassa_juv",28,"x_cause_y",1,1,4,0.332,0.03,-0.25,0.45,0.42
"Eutrigla_gurnardus_juv","Lophius_budegassa_juv",28,"x_cause_y",1,2,4,0.434,0.02,-0.27,0.46,0.42
"Helicolenus_dactylopterus_juv","Lophius_budegassa_juv",28,"x_cause_y",1,3,4,0.128,0.09,-0.3,0.41,0.42
"Merluccius_merluccius_juv","Lophius_budegassa_juv",28,"x_cause_y",1,5,4,0.556,0.01,-0.13,0.39,0.42
"Nephrops_norvegicus_juv","Lophius_budegassa_juv",28,"x_cause_y",1,6,4,0.223,0.05,-0.29,0.45,0.42
"Phycis_blennoides_juv","Lophius_budegassa_juv",28,"x_cause_y",1,7,4,0.882,-0.01,0.03,0.43,0.42
"Trachurus_mediterraneus_juv","Lophius_budegassa_juv",28,"x_cause_y",1,8,4,0.021,0.21,0.2,0.36,0.42
"Trachurus_trachurus_juv","Lophius_budegassa_juv",28,"x_cause_y",1,9,4,0.566,0,0.09,0.41,0.42
"Trisopterus_capelanus_juv","Lophius_budegassa_juv",28,"x_cause_y",1,10,4,0.252,0.05,-0.26,0.42,0.42
"Eledone_cirrhosa_adu","Lophius_budegassa_juv",28,"x_cause_y",1,11,4,0.816,-0.01,-0.07,0.41,0.42
"Eutrigla_gurnardus_adu","Lophius_budegassa_juv",28,"x_cause_y",1,12,4,0.834,-0.01,0.05,0.42,0.42
"Helicolenus_dactylopterus_adu","Lophius_budegassa_juv",28,"x_cause_y",1,13,4,0.579,0,-0.21,0.42,0.42
"Lophius_budegassa_adu","Lophius_budegassa_juv",28,"x_cause_y",1,14,4,0.722,0,0.11,0.43,0.42
"Merluccius_merluccius_adu","Lophius_budegassa_juv",28,"x_cause_y",1,15,4,0.792,-0.01,-0.09,0.43,0.42
"Mullus_barbatus_adu","Lophius_budegassa_juv",28,"x_cause_y",1,16,4,0.007,0.28,0.64,0.16,0.42
"Nephrops_norvegicus_adu","Lophius_budegassa_juv",28,"x_cause_y",1,17,4,0.54,0.01,-0.2,0.41,0.42
"Phycis_blennoides_adu","Lophius_budegassa_juv",28,"x_cause_y",1,18,4,0.507,0.01,0.24,0.43,0.42
"Trachurus_mediterraneus_adu","Lophius_budegassa_juv",28,"x_cause_y",1,19,4,0.262,0.04,0.16,0.37,0.42
"Trachurus_trachurus_adu","Lophius_budegassa_juv",28,"x_cause_y",1,20,4,0.503,0.01,0.09,0.4,0.42
"Trisopterus_capelanus_adu","Lophius_budegassa_juv",28,"x_cause_y",1,21,4,0.404,0.02,-0.3,0.36,0.42
"Sardina_pilchardus","Lophius_budegassa_juv",27,"x_cause_y",1,22,4,0.669,0.01,0.14,0.5,0.53
"Engraulis_encrasicolus","Lophius_budegassa_juv",27,"x_cause_y",1,23,4,0.296,0.05,0.35,0.57,0.53
"Citharus_linguatula","Lophius_budegassa_juv",28,"x_cause_y",1,24,4,0.394,0.02,0.17,0.43,0.42
"Illex_coindetii","Lophius_budegassa_juv",28,"x_cause_y",1,25,4,0.029,0.19,0.3,0.2,0.42
"Lepidorhombus_boscii","Lophius_budegassa_juv",28,"x_cause_y",1,26,4,0.688,0,-0.17,0.42,0.42
"Loligo_vulgaris","Lophius_budegassa_juv",28,"x_cause_y",1,27,4,0.121,0.09,0.14,0.33,0.42
"Lophius_piscatorius","Lophius_budegassa_juv",28,"x_cause_y",1,28,4,0.875,-0.01,-0.05,0.45,0.42
"Micromesistius_poutassou","Lophius_budegassa_juv",28,"x_cause_y",1,29,4,0.519,0.01,-0.09,0.37,0.42
"Mullus_surmuletus","Lophius_budegassa_juv",28,"x_cause_y",1,30,4,0.517,0.01,0.19,0.43,0.42
"Octopus_vulgaris","Lophius_budegassa_juv",28,"x_cause_y",1,31,4,0.54,0.01,0.22,0.4,0.42
"Pagellus_acarne","Lophius_budegassa_juv",28,"x_cause_y",1,32,4,0.019,0.23,-0.41,0.26,0.42
"Pagellus_bogaraveo","Lophius_budegassa_juv",28,"x_cause_y",1,33,4,0.079,0.12,0.22,0.27,0.42
"Pagellus_erythrinus","Lophius_budegassa_juv",28,"x_cause_y",1,34,4,0.028,0.19,0.31,0.32,0.42
"Solea_solea","Lophius_budegassa_juv",28,"x_cause_y",1,35,4,0.648,0,0.08,0.43,0.42
"Zeus_faber","Lophius_budegassa_juv",28,"x_cause_y",1,36,4,0.639,0,-0.09,0.4,0.42
"Eledone_cirrhosa_juv","Merluccius_merluccius_juv",28,"x_cause_y",1,1,5,0.613,0.01,-0.12,0.22,0.23
"Eutrigla_gurnardus_juv","Merluccius_merluccius_juv",28,"x_cause_y",1,2,5,0.81,0,0.07,0.22,0.23
"Helicolenus_dactylopterus_juv","Merluccius_merluccius_juv",28,"x_cause_y",1,3,5,0.499,0.02,0.13,0.21,0.23
"Lophius_budegassa_juv","Merluccius_merluccius_juv",28,"x_cause_y",1,4,5,0.143,0.09,-0.24,0.14,0.23
"Nephrops_norvegicus_juv","Merluccius_merluccius_juv",28,"x_cause_y",1,6,5,0.213,0.06,0.31,0.09,0.23
"Phycis_blennoides_juv","Merluccius_merluccius_juv",28,"x_cause_y",1,7,5,0.669,0.01,0.09,0.2,0.23
"Trachurus_mediterraneus_juv","Merluccius_merluccius_juv",28,"x_cause_y",1,8,5,0.771,0,0.02,0.23,0.23
"Trachurus_trachurus_juv","Merluccius_merluccius_juv",28,"x_cause_y",1,9,5,0.337,0.04,-0.14,0.18,0.23
"Trisopterus_capelanus_juv","Merluccius_merluccius_juv",28,"x_cause_y",1,10,5,0.371,0.03,-0.2,0.27,0.23
"Eledone_cirrhosa_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,11,5,0.37,0.03,0.27,0.2,0.23
"Eutrigla_gurnardus_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,12,5,0.129,0.1,0.38,0.05,0.23
"Helicolenus_dactylopterus_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,13,5,0.119,0.1,0.54,0.16,0.23
"Lophius_budegassa_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,14,5,0.006,0.32,0.77,-0.04,0.23
"Merluccius_merluccius_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,15,5,0.008,0.3,0.8,0.22,0.23
"Mullus_barbatus_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,16,5,0.013,0.26,-0.56,-0.06,0.23
"Nephrops_norvegicus_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,17,5,0.251,0.05,0.38,0.13,0.23
"Phycis_blennoides_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,18,5,0.055,0.16,0.61,0.24,0.23
"Trachurus_mediterraneus_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,19,5,0.595,0.01,-0.07,0.19,0.23
"Trachurus_trachurus_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,20,5,0.796,0,-0.03,0.21,0.23
"Trisopterus_capelanus_adu","Merluccius_merluccius_juv",28,"x_cause_y",1,21,5,0.012,0.27,0.71,0.18,0.23
"Sardina_pilchardus","Merluccius_merluccius_juv",27,"x_cause_y",1,22,5,0.015,0.26,-0.67,0.23,0.22
"Engraulis_encrasicolus","Merluccius_merluccius_juv",27,"x_cause_y",1,23,5,0.11,0.11,0.51,0.31,0.22
"Citharus_linguatula","Merluccius_merluccius_juv",28,"x_cause_y",1,24,5,0.467,0.02,0.14,0.17,0.23
"Illex_coindetii","Merluccius_merluccius_juv",28,"x_cause_y",1,25,5,0.034,0.19,-0.25,0.07,0.23
"Lepidorhombus_boscii","Merluccius_merluccius_juv",28,"x_cause_y",1,26,5,0.197,0.07,0.54,0.2,0.23
"Loligo_vulgaris","Merluccius_merluccius_juv",28,"x_cause_y",1,27,5,0.024,0.22,-0.18,0.07,0.23
"Lophius_piscatorius","Merluccius_merluccius_juv",28,"x_cause_y",1,28,5,0.936,0,0.02,0.23,0.23
"Micromesistius_poutassou","Merluccius_merluccius_juv",28,"x_cause_y",1,29,5,0.258,0.05,0.13,0.22,0.23
"Mullus_surmuletus","Merluccius_merluccius_juv",28,"x_cause_y",1,30,5,0.283,0.05,0.3,0.21,0.23
"Octopus_vulgaris","Merluccius_merluccius_juv",28,"x_cause_y",1,31,5,0.626,0.01,-0.16,0.19,0.23
"Pagellus_acarne","Merluccius_merluccius_juv",28,"x_cause_y",1,32,5,0.027,0.21,0.35,0.06,0.23
"Pagellus_bogaraveo","Merluccius_merluccius_juv",28,"x_cause_y",1,33,5,0.06,0.15,-0.19,0.17,0.23
"Pagellus_erythrinus","Merluccius_merluccius_juv",28,"x_cause_y",1,34,5,0.256,0.05,-0.15,0.14,0.23
"Solea_solea","Merluccius_merluccius_juv",28,"x_cause_y",1,35,5,0.036,0.19,0.32,0.14,0.23
"Zeus_faber","Merluccius_merluccius_juv",28,"x_cause_y",1,36,5,0.007,0.3,0.48,-0.02,0.23
"Eledone_cirrhosa_juv","Eledone_cirrhosa_adu",28,"x_cause_y",1,1,11,0.008,0.29,-0.42,0.31,0.1
"Eutrigla_gurnardus_juv","Eledone_cirrhosa_adu",28,"x_cause_y",1,2,11,0.811,0,0.05,0.09,0.1
"Helicolenus_dactylopterus_juv","Eledone_cirrhosa_adu",28,"x_cause_y",1,3,11,0.065,0.14,-0.22,0.08,0.1
"Lophius_budegassa_juv","Eledone_cirrhosa_adu",28,"x_cause_y",1,4,11,0.215,0.06,-0.14,0.03,0.1
"Merluccius_merluccius_juv","Eledone_cirrhosa_adu",28,"x_cause_y",1,5,11,0.249,0.05,0.16,0.07,0.1
"Nephrops_norvegicus_juv","Eledone_cirrhosa_adu",28,"x_cause_y",1,6,11,0.618,0.01,-0.08,0.12,0.1
"Phycis_blennoides_juv","Eledone_cirrhosa_adu",28,"x_cause_y",1,7,11,0.434,0.02,0.11,0.06,0.1
"Trachurus_mediterraneus_juv","Eledone_cirrhosa_adu",28,"x_cause_y",1,8,11,0.929,0,-0.01,0.09,0.1
"Trachurus_trachurus_juv","Eledone_cirrhosa_adu",28,"x_cause_y",1,9,11,0.056,0.15,-0.2,-0.06,0.1
"Trisopterus_capelanus_juv","Eledone_cirrhosa_adu",28,"x_cause_y",1,10,11,0.094,0.12,0.24,0.03,0.1
"Eutrigla_gurnardus_adu","Eledone_cirrhosa_adu",28,"x_cause_y",1,12,11,0.48,0.02,0.11,0.05,0.1
"Helicolenus_dactylopterus_adu","Eledone_cirrhosa_adu",28,"x_cause_y",1,13,11,0.117,0.1,-0.38,0.01,0.1
"Lophius_budegassa_adu","Eledone_cirrhosa_adu",28,"x_cause_y",1,14,11,0.295,0.04,0.21,-0.01,0.1
"Merluccius_merluccius_adu","Eledone_cirrhosa_adu",28,"x_cause_y",1,15,11,0.107,0.11,-0.35,0.14,0.1
"Mullus_barbatus_adu","Eledone_cirrhosa_adu",28,"x_cause_y",1,16,11,0.017,0.23,-0.33,-0.06,0.1
"Nephrops_norvegicus_adu","Eledone_cirrhosa_adu",28,"x_cause_y",1,17,11,0.239,0.06,-0.25,0.06,0.1
"Phycis_blennoides_adu","Eledone_cirrhosa_adu",28,"x_cause_y",1,18,11,0.446,0.02,-0.19,0.17,0.1
"Trachurus_mediterraneus_adu","Eledone_cirrhosa_adu",28,"x_cause_y",1,19,11,0.614,0.01,-0.05,0.04,0.1
"Trachurus_trachurus_adu","Eledone_cirrhosa_adu",28,"x_cause_y",1,20,11,0.1,0.11,-0.16,-0.1,0.1
"Trisopterus_capelanus_adu","Eledone_cirrhosa_adu",28,"x_cause_y",1,21,11,0.742,0,-0.08,0.13,0.1
"Sardina_pilchardus","Eledone_cirrhosa_adu",27,"x_cause_y",1,22,11,0.767,0,0.05,0,-0.01
"Engraulis_encrasicolus","Eledone_cirrhosa_adu",27,"x_cause_y",1,23,11,0.219,0.06,-0.24,0.02,-0.01
"Citharus_linguatula","Eledone_cirrhosa_adu",28,"x_cause_y",1,24,11,0.358,0.03,0.12,0.03,0.1
"Illex_coindetii","Eledone_cirrhosa_adu",28,"x_cause_y",1,25,11,0.116,0.1,-0.12,0.04,0.1
"Lepidorhombus_boscii","Eledone_cirrhosa_adu",28,"x_cause_y",1,26,11,0.706,0,-0.12,0.11,0.1
"Loligo_vulgaris","Eledone_cirrhosa_adu",28,"x_cause_y",1,27,11,0.854,0,-0.01,0.09,0.1
"Lophius_piscatorius","Eledone_cirrhosa_adu",28,"x_cause_y",1,28,11,0.237,0.06,-0.16,0.05,0.1
"Micromesistius_poutassou","Eledone_cirrhosa_adu",28,"x_cause_y",1,29,11,0.926,0,-0.01,0.11,0.1
"Mullus_surmuletus","Eledone_cirrhosa_adu",28,"x_cause_y",1,30,11,0.556,0.01,0.12,0.06,0.1
"Octopus_vulgaris","Eledone_cirrhosa_adu",28,"x_cause_y",1,31,11,0.958,0,0.01,0.09,0.1
"Pagellus_acarne","Eledone_cirrhosa_adu",28,"x_cause_y",1,32,11,0.572,0.01,0.06,0.08,0.1
"Pagellus_bogaraveo","Eledone_cirrhosa_adu",28,"x_cause_y",1,33,11,0.249,0.05,-0.08,0.06,0.1
"Pagellus_erythrinus","Eledone_cirrhosa_adu",28,"x_cause_y",1,34,11,0.541,0.01,-0.06,0.04,0.1
"Solea_solea","Eledone_cirrhosa_adu",28,"x_cause_y",1,35,11,0.718,0,0.04,0.07,0.1
"Zeus_faber","Eledone_cirrhosa_adu",28,"x_cause_y",1,36,11,0.796,0,0.03,0.08,0.1
"Eledone_cirrhosa_juv","Lophius_budegassa_adu",28,"x_cause_y",1,1,14,0.801,-0.01,-0.04,0.48,0.49
"Eutrigla_gurnardus_juv","Lophius_budegassa_adu",28,"x_cause_y",1,2,14,0.993,-0.01,0,0.49,0.49
"Helicolenus_dactylopterus_juv","Lophius_budegassa_adu",28,"x_cause_y",1,3,14,0.811,-0.01,-0.03,0.5,0.49
"Lophius_budegassa_juv","Lophius_budegassa_adu",28,"x_cause_y",1,4,14,0.01,0.27,-0.25,0.41,0.49
"Merluccius_merluccius_juv","Lophius_budegassa_adu",28,"x_cause_y",1,5,14,0.419,0.02,0.11,0.42,0.49
"Nephrops_norvegicus_juv","Lophius_budegassa_adu",28,"x_cause_y",1,6,14,0.652,0,-0.07,0.52,0.49
"Phycis_blennoides_juv","Lophius_budegassa_adu",28,"x_cause_y",1,7,14,0.355,0.03,0.13,0.43,0.49
"Trachurus_mediterraneus_juv","Lophius_budegassa_adu",28,"x_cause_y",1,8,14,0.84,-0.01,0.01,0.49,0.49
"Trachurus_trachurus_juv","Lophius_budegassa_adu",28,"x_cause_y",1,9,14,0.098,0.1,-0.15,0.41,0.49
"Trisopterus_capelanus_juv","Lophius_budegassa_adu",28,"x_cause_y",1,10,14,0.655,0,0.06,0.49,0.49
"Eledone_cirrhosa_adu","Lophius_budegassa_adu",28,"x_cause_y",1,11,14,0.585,0,0.11,0.45,0.49
"Eutrigla_gurnardus_adu","Lophius_budegassa_adu",28,"x_cause_y",1,12,14,0.616,0,0.09,0.42,0.49
"Helicolenus_dactylopterus_adu","Lophius_budegassa_adu",28,"x_cause_y",1,13,14,0.236,0.05,-0.25,0.5,0.49
"Merluccius_merluccius_adu","Lophius_budegassa_adu",28,"x_cause_y",1,15,14,0.116,0.1,-0.35,0.62,0.49
"Mullus_barbatus_adu","Lophius_budegassa_adu",28,"x_cause_y",1,16,14,0.036,0.17,-0.29,0.32,0.49
"Nephrops_norvegicus_adu","Lophius_budegassa_adu",28,"x_cause_y",1,17,14,0.757,0,-0.07,0.5,0.49
"Phycis_blennoides_adu","Lophius_budegassa_adu",28,"x_cause_y",1,18,14,0.77,-0.01,0.07,0.46,0.49
